Date,Open,High,Low,Close,Adj Close,Volume
2021-06-21,217.061996,226.679993,214.770004,226.089996,226.089996,1849800
2021-06-22,228.253998,236.552002,227.800003,236.490005,236.490005,2032700
2021-06-23,233.880005,238.000000,219.699997,229.500000,229.500000,2707800
2021-06-24,231.100006,232.970001,225.809998,227.789993,227.789993,1553200
2021-06-25,228.500000,231.899994,225.630005,230.020004,230.020004,1175000
2021-06-28,230.559998,233.740005,222.750000,228.440002,228.440002,1508700
2021-06-29,226.300003,231.970001,223.009995,228.059998,228.059998,1669900
2021-06-30,228.000000,230.990005,221.270004,223.880005,223.880005,1763900
2021-07-01,224.500000,227.380005,220.102997,224.000000,224.000000,943600
2021-07-02,224.889999,227.000000,218.130005,224.000000,224.000000,967600
2021-07-06,213.425003,216.429993,209.149994,213.500000,213.500000,2051000
2021-07-07,211.500000,211.600006,203.000000,205.929993,205.929993,1427300
2021-07-08,195.669998,208.740997,194.039993,207.929993,207.929993,2013200
2021-07-09,216.240005,217.600006,208.500000,217.399994,217.399994,2065300
2021-07-12,217.373001,220.360001,214.505005,215.690002,215.690002,1092000
2021-07-13,214.429993,214.429993,206.800003,207.839996,207.839996,1794600
2021-07-14,207.929993,214.899994,204.679993,212.000000,212.000000,1526000
2021-07-15,212.869995,222.179001,212.080002,221.080002,221.080002,2889300
2021-07-16,225.080002,233.240005,222.350006,231.470001,231.470001,5050000
2021-07-19,228.000000,247.309998,226.410004,242.639999,242.639999,5147300
2021-07-20,240.929993,252.559998,232.839996,245.169998,245.169998,6604900
2021-07-21,244.949997,261.769989,242.070007,259.609985,259.609985,5335300
2021-07-22,269.559998,283.920013,264.600006,280.980011,280.980011,5589800
2021-07-23,287.032990,292.334991,267.029999,281.959991,281.959991,4456600
2021-07-26,289.500000,297.730011,276.679993,286.260010,286.260010,4025300
2021-07-27,293.000000,296.459991,272.183014,284.000000,284.000000,4318800
2021-07-28,289.000000,315.160004,282.500000,313.450012,313.450012,4880600
2021-07-29,327.792999,328.700012,303.459991,312.589996,312.589996,4094200
2021-07-30,315.010010,331.000000,308.239990,328.350006,328.350006,4025200
2021-08-02,345.260010,353.640015,333.179993,340.209991,340.209991,5016300
2021-08-03,341.010010,354.079987,336.799988,351.809998,351.809998,4139900
2021-08-04,361.000000,433.899994,353.790009,414.440002,414.440002,13700500
2021-08-05,406.500000,418.309998,375.100006,404.920013,404.920013,7334000
2021-08-06,396.000000,403.149994,368.109985,389.010010,389.010010,5688400
2021-08-09,408.230011,459.880005,403.549988,447.230011,447.230011,12022600
2021-08-10,458.000000,464.000000,411.369995,416.500000,416.500000,8240500
2021-08-11,413.899994,418.000000,336.200012,359.190002,359.190002,14583700
2021-08-12,380.000000,391.570007,356.010010,374.019989,374.019989,7258200
2021-08-13,387.140015,390.000000,367.299988,377.320007,377.320007,3684000
2021-08-16,368.174011,369.839996,320.049988,343.100006,343.100006,7979400
2021-08-17,322.000000,366.950012,320.000000,366.269989,366.269989,8101600
2021-08-18,368.459991,374.799988,347.029999,363.989990,363.989990,4801600
2021-08-19,348.700012,355.299988,330.959991,331.809998,331.809998,4638900
2021-08-20,336.350006,356.500000,333.000000,348.679993,348.679993,3878200
2021-08-23,373.516998,388.000000,370.200012,382.100006,382.100006,6934500
2021-08-24,377.329987,379.980011,354.200012,368.200012,368.200012,4767500
2021-08-25,360.779999,376.540009,351.000000,376.029999,376.029999,2990600
2021-08-26,371.000000,377.598999,366.010010,369.989990,369.989990,1927500
2021-08-27,368.790009,370.320007,354.820007,358.480011,358.480011,2327300
2021-08-30,351.000000,360.329987,342.789001,345.000000,345.000000,3010000
2021-08-31,340.260010,349.339996,327.100006,329.190002,329.190002,3327500
2021-09-01,334.250000,336.500000,326.500000,332.500000,332.500000,2632200
2021-09-02,334.859985,341.763000,326.660004,328.529999,328.529999,2113100
2021-09-03,328.489990,334.309998,320.709991,334.299988,334.299988,2238400
2021-09-07,334.540009,347.980011,332.295013,346.609985,346.609985,2478000
2021-09-08,346.209991,352.809998,335.260010,336.239990,336.239990,2354600
2021-09-09,338.290009,353.480011,336.679993,351.380005,351.380005,3210700
2021-09-10,360.000000,363.299988,347.500000,349.190002,349.190002,3033200
2021-09-13,348.191010,351.910004,322.470001,327.140015,327.140015,3963800
2021-09-14,326.170013,345.920013,326.029999,334.880005,334.880005,2850000
2021-09-15,338.109985,357.760010,337.500000,355.250000,355.250000,4545800
2021-09-16,350.390015,374.850006,345.000000,372.649994,372.649994,4606800
2021-09-17,370.739990,370.799988,344.809998,359.179993,359.179993,5646200
2021-09-20,341.204987,353.640015,333.359985,339.010010,339.010010,3322100
2021-09-21,344.769989,349.929993,337.040009,341.350006,341.350006,2455400
2021-09-22,342.803009,344.570007,336.690002,339.260010,339.260010,1480000
2021-09-23,343.000000,360.000000,341.440002,352.989990,352.989990,2824400
2021-09-24,350.000000,350.920013,332.399994,333.480011,333.480011,2603100
2021-09-27,335.360992,338.500000,305.510010,307.089996,307.089996,4089300
2021-09-28,293.700012,296.899994,275.000000,276.519989,276.519989,5854400
2021-09-29,287.000000,292.809998,275.579987,277.440002,277.440002,2776300
2021-09-30,278.140015,282.500000,268.829987,272.989990,272.989990,2632600
2021-10-01,251.000000,259.239990,230.029999,254.789993,254.789993,6885400
2021-10-04,234.929993,252.369995,233.500000,248.899994,248.899994,3719000
2021-10-05,253.951996,258.000000,248.919998,250.119995,250.119995,2038500
2021-10-06,246.960007,248.539993,233.750000,236.139999,236.139999,2434200
2021-10-07,235.800003,252.589996,232.059998,246.570007,246.570007,2585500
2021-10-08,252.029999,257.899994,243.199997,245.949997,245.949997,1913300
2021-10-11,244.000000,251.050003,240.970001,243.020004,243.020004,1244400
